req_id,source_ref,quote_ref,normalized_requirement,type,scope,verifiable,notes
REQ-00001,SRC-01:P000001,47f726ad032089af421f332da473f33b476f6883d7d7c3cc85478422e7fec280,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""ULTRACODE — MASTER SPECIFICATION CONVERGENCE & IMPLEMENTATION READINESS DIRECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=ULTRACODE — MASTER SPECIFICATION CONVERGENCE & IMPLEMENTATION READINESS DIRECTIVE; disposition=KEEP_GOVERNANCE
REQ-00002,SRC-01:P000002,1ba58bf2389536095b33e4b9ac95c021aba9de2f04e3a8eaf4a880777306d997,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""0. MISSION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=0. MISSION; disposition=KEEP_GOVERNANCE
REQ-00003,SRC-01:P000008,88156498e754d7154e63874ef05d6ed7011dc2ad9745322f4b4108d3b1d6d8b5,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""1. PRIMARY OBJECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=1. PRIMARY OBJECTIVE; disposition=KEEP_GOVERNANCE
REQ-00004,SRC-01:P000044,0dd43634e37b64380393a08501d93aece394c2ccf692e7279b3f789f5c65a97f,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""2. NON-NEGOTIABLE PRINCIPLE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=2. NON-NEGOTIABLE PRINCIPLE; disposition=KEEP_GOVERNANCE
REQ-00005,SRC-01:P000071,1107747c8628c7665d14fa83e7e516eaf44863f6543fe02fc21668ba62bba5d5,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""3. SOURCE PRIORITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=3. SOURCE PRIORITY; disposition=KEEP_GOVERNANCE
REQ-00006,SRC-01:P000092,bd1bcf211ff046cb48c771258b50793187543e05664613923cfd40e56142213b,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4. COMPLETE CORPUS EXTRACTION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",CAPABILITY_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=4. COMPLETE CORPUS EXTRACTION; disposition=KEEP_GOVERNANCE
REQ-00007,SRC-01:P000135,e568a273e905c45547c77cafcc3d34f2f4350f11acb85775644c38b69e5f73de,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""5. REQUIREMENT NORMALIZATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=5. REQUIREMENT NORMALIZATION; disposition=KEEP_GOVERNANCE
REQ-00008,SRC-01:P000151,1bda24d6720127277f9f5063abe05ad467eb7b53c8548ab476e55f40f0b1544f,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""6. DISTINGUISH THE FOLLOWING CLASSES"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=6. DISTINGUISH THE FOLLOWING CLASSES; disposition=KEEP_GOVERNANCE
REQ-00009,SRC-01:P000178,f0fbfc02fddbbcbe9896430e7f0d5342b14c35638804417c51f4e7a8ac507f19,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""7. CONTRADICTION AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",EVIDENCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=7. CONTRADICTION AUDIT; disposition=KEEP_GOVERNANCE
REQ-00010,SRC-01:P000209,b9ed693078347dba6be8336442ab4d760154a50872c093b7c58808d4033b1181,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""8. REPOSITORY REALITY CHECK"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",GOVERNANCE_REQUIREMENT,NEXORA,TRACEABLE_BY_SECTION_HASH,heading=8. REPOSITORY REALITY CHECK; disposition=KEEP_GOVERNANCE
