section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-04A:L000001,SRC-04A,LoopCell Phase 0 実装仕様書 v1.1（統合・凍結版）,1,13,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000014,SRC-04A,0. 実行手順（M0–M7）,14,34,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000035,SRC-04A,1. ミッションと成功定義,35,36,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000037,SRC-04A,1.1 検証する仮説,37,40,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000041,SRC-04A,1.2 検証しない仮説,41,44,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000045,SRC-04A,1.3 実験の骨格,45,59,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000060,SRC-04A,1.4 結果の解釈上限（V-08）,60,65,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000066,SRC-04A,2. 非目標（実装禁止リスト）,66,71,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000072,SRC-04A,3. 事前登録（Pre-registration）,72,93,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000094,SRC-04A,4. リポジトリ構成,94,131,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000132,SRC-04A,5. 設定ファイル,132,189,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000190,SRC-04A,6. データスキーマ,190,193,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000194,SRC-04A,6.1 `corpus/mutations.json`（`schemas/corpus_mutations.schema.json`）,194,201,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000202,SRC-04A,6.2 `runs/loops.jsonl`（`schemas/loops.schema.json`）,202,263,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000264,SRC-04A,6.3 `runs/api_errors.jsonl`（B-1、`schemas/api_errors.schema.json`）,264,273,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000274,SRC-04A,6.4 `cells/cell_state_vK.json`（`schemas/cell_state.schema.json`）,274,308,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000309,SRC-04A,6.5 `derived/patterns.jsonl`（Tier 2、`schemas/patterns.schema.json`）,309,318,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000319,SRC-04A,6.6 データ階層（Tier 1 / 2 / 3）,319,326,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000327,SRC-04A,6.7 `analysis/run_manifest.json`（`schemas/run_manifest.schema.json`）,327,332,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000333,SRC-04A,7. コーパス生成,333,334,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000335,SRC-04A,7.1 対象リポジトリ要件（人間が候補を指名。M1 で検証）,335,338,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
SRC-04A:L000339,SRC-04A,7.2 変異オペレータ,339,342,source_blob:6c1342f0f99f9d3ab874b25e466f9fc8e34457f1,SCOPE_AUTHORITY,Frozen LoopCell Phase 0 SSOT; authority is limited to LoopCell Phase 0
