req_id,source_ref,requirement,task_ids,test_ids,evidence_paths,status
REQ-00001,SRC-01:P000001,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""ULTRACODE — MASTER SPECIFICATION CONVERGENCE & IMPLEMENTATION READINESS DIRECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00002,SRC-01:P000002,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""0. MISSION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00003,SRC-01:P000008,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""1. PRIMARY OBJECTIVE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00004,SRC-01:P000044,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""2. NON-NEGOTIABLE PRINCIPLE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00005,SRC-01:P000071,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""3. SOURCE PRIORITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00006,SRC-01:P000092,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""4. COMPLETE CORPUS EXTRACTION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00007,SRC-01:P000135,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""5. REQUIREMENT NORMALIZATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00008,SRC-01:P000151,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""6. DISTINGUISH THE FOLLOWING CLASSES"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00009,SRC-01:P000178,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""7. CONTRADICTION AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00010,SRC-01:P000209,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""8. REPOSITORY REALITY CHECK"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00011,SRC-01:P000226,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""9. ARCHITECTURAL CONVERGENCE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00012,SRC-01:P000251,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""10. AUTONOMY VS AUTHORITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00013,SRC-01:P000274,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""11. MODEL INDEPENDENCE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00014,SRC-01:P000284,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""12. CAPABILITY SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00015,SRC-01:P000314,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""13. EVIDENCE-FIRST DESIGN"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00016,SRC-01:P000343,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""14. RESEARCH VALIDITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00017,SRC-01:P000358,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""15. FAILURE-SAFE OPERATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00018,SRC-01:P000386,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""16. COST / RESOURCE CONTROL"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00019,SRC-01:P000414,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""17. “PERPETUAL FREE OPERATION” AUDIT"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00020,SRC-01:P000433,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""18. PERFORMANCE CLAIMS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00021,SRC-01:P000453,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""19. SECURITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00022,SRC-01:P000473,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""20. SELF-MODIFICATION"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00023,SRC-01:P000485,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""21. STATE MODEL"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00024,SRC-01:P000517,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""22. GATE SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00025,SRC-01:P000538,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""23. CLAIM / FALSIFICATION SYSTEM"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00026,SRC-01:P000552,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""24. REPRODUCIBILITY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00027,SRC-01:P000568,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""25. DEPENDENCY GRAPH"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00028,SRC-01:P000594,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""26. IMPLEMENTATION ORDER"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00029,SRC-01:P000609,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""27. STOP CONDITIONS"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00030,SRC-01:P000623,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""28. IMPLEMENTATION POLICY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00031,SRC-01:P000637,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""29. VERIFICATION POLICY"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00032,SRC-01:P000648,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""30. FINAL QUALITY GATE"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
REQ-00033,SRC-01:P000650,"For the NEXORA control plane, preserve and enforce the normative semantics of section ""Logical integrity"" identified by its immutable section hash; lower-authority artifacts MUST NOT silently override it.",T-070,tests/test_requirements_check.py|tests/test_pipeline_e2e.py,control/corpus_sections/SRC-01-part-01.csv,TRACE_BOUND_NOT_CLAIMED_SATISFIED
