section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-01:P010490,SRC-01,977. COMPUTE ESCALATION,10490,10493,902e8190e639601e32c6118374fb81255ea16dcabbe0895edc9d34a5551c18cb,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010494,SRC-01,978. FALLBACK EXECUTION,10494,10498,fc6eccde71e938c811b785af0c039f588124328fa0426c29da61f42d465da6c4,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010499,SRC-01,979. MODEL FALLBACK,10499,10503,e0b65678c13992a2cd7736809ccbbf2ee45effad6711ca66e494beea5679777e,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010504,SRC-01,980. HARDWARE FALLBACK,10504,10507,c36cae42fdf1cd859652c533d6ba77707a25be2ae3267e471c4f7f13025958b8,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010508,SRC-01,981. GRACEFUL DEGRADATION,10508,10511,7c48f764680f75015d9df4bda64a63690faf8672608350b416c925d3e0907f6c,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010512,SRC-01,982. RESEARCH SURVIVABILITY,10512,10517,2cb46b9f29580a038912478b8ae3f60e2a27a8b96d08b7c29607016204ce78ae,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010518,SRC-01,983. SURVIVABILITY SCORE,10518,10519,4086433b40b50696edfdb9c27e4fafb1c564b70e27340b4413747181e56dad0b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010520,SRC-01,Survivability,10520,10522,1e503212d6d186e543f7e8544c882e5d0d188414fb6e1261798fb3ee212a3b1b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010523,SRC-01,984. BUS FACTOR,10523,10524,6421ba70062633ee75fc08507688569055dd995fdcb4003ed282b16f72d1975a,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010525,SRC-01,985. KNOWLEDGE EXPORT,10525,10528,f0b6b85dae66eb5c4d38ba484636e7c844a97d7ca106a21b6f6860c7346ed3f3,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010529,SRC-01,986. CONTEXT RESET RECOVERY,10529,10532,288396a0205339dc4cfb9cf6601865e2793c5f75a442799c5e8de9438a30a35f,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010533,SRC-01,987. NO-CONVERSATION-DEPENDENCY,10533,10534,649d27db71a744f779059396a8e9967f193f680cbd765e2848268dc2e8ec364b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P010535,SRC-01,988. SESSION INDEPENDENCE,10535,10538,ec622a79a8fdef57566d18d18e7425939e00b92c98aeaacebdd30bc4b53de6a6,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
