section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-02B:L000001,SRC-02B,PROTOCOL_LOCK.md,1,6,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000007,SRC-02B,Freeze status (Class-A scope),7,16,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000017,SRC-02B,"Class A — execution identity (REQUIRED, all filled)",17,39,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000040,SRC-02B,Class B — research / analysis plan,40,44,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000045,SRC-02B,"--- LOCKED (Human Decision, this session) ---",45,49,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000050,SRC-02B,the already-implemented analysis_primary.py mechanism exactly; now formally,50,50,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000051,SRC-02B,"ratified at the governance level, not merely ""implemented.""",51,53,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000054,SRC-02B,"n_seeds below, which remains UNDECIDED: ""fixed-N"" fixes the STOPPING",54,54,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000055,SRC-02B,"POLICY, not the actual sample size N itself)",55,65,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000066,SRC-02B,candidate not reaching terminated=True is excluded; no criterion beyond,66,66,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000067,SRC-02B,this structural minimum (see canonical/Source-Task-Definition.md audit),67,68,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000069,SRC-02B,"RE-LOCKED (D-03, this session) -- SHA256 of src/veag3_dk/runner.py",69,69,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000070,SRC-02B,"(8091 bytes). Mechanical value, zero scientific judgment. Previous",70,70,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000071,SRC-02B,"value (fa8a3f5f83f51cdffed6c1f6a8bd558b4d12f5514718a0546c2537aaeeabed5b,",71,71,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000072,SRC-02B,7287 bytes) had gone stale after runner.py was edited (the,72,72,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000073,SRC-02B,parse_failure_threshold fix plus its explanatory comments) without a,73,73,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000074,SRC-02B,matching re-lock -- discovered and independently re-verified across,74,74,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000075,SRC-02B,multiple audit turns this session before this re-lock was performed.,75,75,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000076,SRC-02B,Any future edit to runner.py invalidates this hash; re-lock required,76,76,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000077,SRC-02B,before execution if runner.py changes again.,77,86,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000087,SRC-02B,"analysis_primary.py's existing, tested computation exactly.",87,88,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000089,SRC-02B,H1 framing (SPEC.md Section 4).,89,90,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000091,SRC-02B,this session. NOTE: locking this value exposed a real bug in,91,91,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000092,SRC-02B,runner.py's loop (the threshold check ran unconditionally after every,92,92,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000093,SRC-02B,"parse, so threshold=0 broke the episode to U after the first",93,93,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000094,SRC-02B,iteration even on a successful parse -- 0 is simultaneously the,94,94,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000095,SRC-02B,"""no failures yet"" and ""at threshold"" state under the old,",95,95,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000096,SRC-02B,unconditional check). Fixed this session (src/veag3_dk/runner.py):,96,96,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000097,SRC-02B,"the threshold check now only applies on the failure path, so",97,97,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000098,SRC-02B,"threshold=0 correctly means ""the first parse FAILURE ends the",98,98,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000099,SRC-02B,"episode,"" never ""any parse ends it."" Regression tests added",99,99,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000100,SRC-02B,(tests/test_runner.py). This value is registered here only after the,100,100,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
SRC-02B:L000101,SRC-02B,fix was verified -- it was not locked against the pre-fix behavior.,101,102,source_blob:e535476b4f981f3ca1f8dff9efb92253797c0a39,SCOPE_AUTHORITY,Frozen VEA-G3 protocol lock; authority is limited to locked VEA-G3 values
